Prompt,Category
Booked an Uber to the railway station.,Travel
Ordered a smartwatch from Croma online.,Shopping
Refilled CNG in my vehicle at an HP station.,Transportation
Settled lease extension fees for my flat.,Rent
Paid consultation fees at AIIMS Delhi.,Healthcare
Paid for a train sleeper class ticket on IRCTC.,Travel
Took an auto-rickshaw to the office.,Travel
Bought a Spotify Premium annual plan.,Entertainment
Booked an auto ride via Rapido.,Transportation
Booked an auto ride via Rapido.,Transportation
Booked an auto ride via Rapido.,Transportation
Paid additional maintenance charges for my rented house.,Rent
Covered plumbing repair costs for a leakage issue.,Utilities
Paid my LPG gas bill for Indane.,Utilities
Took an auto-rickshaw to the office.,Travel
Watched a play at Prithvi Theatre.,Entertainment
Picked up sportswear from Decathlon.,Shopping
Ordered biryani from Paradise Biryani House.,Dining
Reserved a flight ticket via MakeMyTrip.,Travel
Cleared municipal water tax online.,Utilities
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Hired an Ola cab for an outstation trip.,Travel
Took an auto-rickshaw to the office.,Travel
Ordered a smartwatch from Croma online.,Shopping
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Got a designer lehenga from Manyavar.,Shopping
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Renewed Cult.fit gym membership for six months.,Subscriptions
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Booked an auto ride via Rapido.,Transportation
Renewed Cult.fit gym membership for six months.,Subscriptions
Transferred rent for my Bangalore apartment.,Rent
Paid consultation fees at AIIMS Delhi.,Healthcare
Paid for a train sleeper class ticket on IRCTC.,Travel
Ordered grocery essentials from Jiomart online.,Groceries
Refueled my car at an Indian Oil petrol pump.,Transportation
Bought a silk saree from Nalli Silks.,Shopping
Bought a Delhi Metro smart card recharge.,Travel
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Bought an annual Amazon Prime membership.,Subscriptions
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Took an e-rickshaw ride in Delhi.,Transportation
Paid for excess baggage at Mumbai Airport.,Travel
Took a COVID-19 test at SRL Diagnostics.,Healthcare
